Tract ID,County,Estimate!!Total,Year
1302.03,Marin,2104,2023
1302.04,Marin,2368,2023
1311,Marin,1346,2023
1321,Marin,1589,2023
1322,Marin,1673,2023
1330,Marin,2842,2023
9901,Marin,0,2023
2002.01,Napa,3870,2023
2002.02,Napa,2049,2023
2002.03,Napa,1990,2023
2003.01,Napa,6064,2023
2003.02,Napa,2797,2023
2004,Napa,3307,2023
2005.01,Napa,5481,2023
2005.03,Napa,1532,2023
2005.04,Napa,6177,2023
2005.05,Napa,2905,2023
2006.01,Napa,4778,2023
2006.02,Napa,4584,2023
2007.03,Napa,3083,2023
2007.04,Napa,4795,2023
2007.05,Napa,2897,2023
2007.06,Napa,3094,2023
2007.07,Napa,3481,2023
2008.02,Napa,6060,2023
2008.03,Napa,2223,2023
2008.04,Napa,5493,2023
2009,Napa,319,2023
2010.03,Napa,5133,2023
2010.04,Napa,6997,2023
2010.05,Napa,2623,2023
2010.06,Napa,3455,2023
2010.07,Napa,3851,2023
2011.01,Napa,1941,2023
2011.02,Napa,1934,2023
2012,Napa,4560,2023
2013,Napa,3396,2023
2014.01,Napa,2672,2023
2014.02,Napa,2539,2023
2014.03,Napa,698,2023
2015,Napa,1588,2023
2016.01,Napa,2184,2023
2016.02,Napa,3194,2023
2017,Napa,4305,2023
2018,Napa,1356,2023
2019,Napa,1506,2023
2020,Napa,5159,2023
101.01,San Francisco,2004,2023
101.02,San Francisco,1795,2023
102.01,San Francisco,2608,2023
102.02,San Francisco,1761,2023
103,San Francisco,3791,2023
104.01,San Francisco,2393,2023
104.02,San Francisco,2012,2023
105,San Francisco,3177,2023
106,San Francisco,3293,2023
107.01,San Francisco,3280,2023
107.02,San Francisco,1380,2023
108,San Francisco,4334,2023
109.01,San Francisco,2069,2023
109.02,San Francisco,2568,2023
110.01,San Francisco,2327,2023
110.02,San Francisco,1755,2023
111.01,San Francisco,2470,2023
111.02,San Francisco,2205,2023
112,San Francisco,2678,2023
113,San Francisco,2518,2023
117,San Francisco,1947,2023
118,San Francisco,1635,2023
119.01,San Francisco,2084,2023
119.02,San Francisco,2732,2023
120.01,San Francisco,1738,2023
120.02,San Francisco,2035,2023
121,San Francisco,3250,2023
122.02,San Francisco,3017,2023
122.03,San Francisco,1895,2023
122.04,San Francisco,2389,2023
123.01,San Francisco,1766,2023
123.02,San Francisco,2586,2023
124.03,San Francisco,2696,2023
124.04,San Francisco,2587,2023
124.05,San Francisco,3878,2023
124.06,San Francisco,1358,2023
125.02,San Francisco,4689,2023
125.03,San Francisco,4497,2023
125.04,San Francisco,651,2023
126.01,San Francisco,2045,2023
126.02,San Francisco,2956,2023
127,San Francisco,3973,2023
128.01,San Francisco,2547,2023
128.02,San Francisco,2035,2023
129.01,San Francisco,2887,2023
129.02,San Francisco,2735,2023
130.01,San Francisco,1770,2023
130.02,San Francisco,2785,2023
131.01,San Francisco,3935,2023
131.02,San Francisco,2725,2023
132,San Francisco,3721,2023
133,San Francisco,4160,2023
134.01,San Francisco,1456,2023
134.02,San Francisco,2302,2023
135,San Francisco,2544,2023
151,San Francisco,2840,2023
152.01,San Francisco,1532,2023
152.02,San Francisco,2334,2023
153,San Francisco,2427,2023
154.01,San Francisco,3035,2023
154.02,San Francisco,2747,2023
155,San Francisco,3936,2023
156,San Francisco,2927,2023
157.01,San Francisco,4958,2023
157.02,San Francisco,3109,2023
158.01,San Francisco,3220,2023
158.02,San Francisco,3163,2023
159,San Francisco,4876,2023
160,San Francisco,2725,2023
